,City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Qaanaaq,GL,0,1578922045,60,77.48,-69.36,-13.31,5.7
1,Airai,TL,100,1578922045,86,-8.93,125.41,69.35,1.83
2,Rikitea,PF,1,1578922046,83,-23.12,-134.97,76.41,11.34
3,Puerto Ayora,EC,1,1578922046,81,-0.74,-90.35,75.99,5.01
4,Mandurah,AU,0,1578922046,77,-32.55,115.7,74.41,1.01
5,Tsabong,BW,23,1578922046,18,-26.02,22.4,95.63,0.85
6,Bage,BR,31,1578922046,74,-31.33,-54.11,69.01,11.99
7,Broome,US,100,1578922046,23,42.25,-75.83,29.71,6.51
8,Busselton,AU,0,1578922046,33,-33.65,115.33,68.97,18.66
9,Alofi,NU,100,1578922047,82,-19.06,-169.92,80.28,16.22
10,Chokurdakh,RU,82,1578922047,97,70.63,147.92,-25.53,0.49
11,Mar del Plata,AR,0,1578921893,64,-38.0,-57.56,64.22,12.55
12,Thompson,CA,100,1578922047,97,55.74,-97.86,6.3,4.05
13,Vaini,TO,70,1578922047,81,-21.2,-175.2,80.42,17.34
14,Bluff,NZ,0,1578922047,85,-46.6,168.33,45.0,3.76
15,Yellowknife,CA,40,1578922047,64,62.46,-114.35,-41.01,4.0
16,Albany,US,100,1578921883,67,42.6,-73.97,28.92,1.01
17,Dzhebariki-Khaya,RU,47,1578922048,92,62.22,135.8,-31.4,1.77
18,Synya,RU,100,1578922048,96,65.37,58.04,22.78,4.65
19,George Town,MY,90,1578922048,74,5.41,100.34,85.24,3.0
20,Hobart,AU,45,1578922048,81,-42.88,147.33,57.81,8.05
21,Zhigansk,RU,100,1578922048,96,66.77,123.37,-11.43,16.64
22,Jinchang,CN,53,1578922048,58,38.5,102.17,18.7,3.91
23,Kruisfontein,ZA,71,1578922048,56,-34.0,24.73,83.91,14.23
24,Vila Velha,BR,63,1578922048,62,-20.33,-40.29,86.5,3.71
25,Clyde River,CA,99,1578922048,92,70.47,-68.59,-15.07,8.68
26,Toguchin,RU,100,1578922048,91,55.24,84.39,11.32,8.7
27,Kyra,RU,0,1578922048,78,49.58,111.98,-8.77,2.17
28,Tuatapere,NZ,0,1578922048,85,-46.13,167.68,45.0,2.53
29,Hukuntsi,BW,11,1578922048,24,-24.0,21.75,93.42,10.71
30,Hegra,NO,89,1578922049,81,63.46,11.11,35.62,3.51
31,Severo-Kuril'sk,RU,100,1578922049,94,50.68,156.12,24.24,8.88
